,X_i,Y_i,Z_i,X_f,Y_f,Z_f,Cu [%],Au [ppm],Ton [t],B [$]
154,55.0,190.0,40.0,70.0,200.0,65.0,0.8414846266253824,0.20852163940548424,21528.78,959092.48
155,55.0,190.0,45.0,70.0,200.0,70.0,0.6456685537134386,0.18056005366868028,19437.78,560905.53
156,55.0,195.0,20.0,70.0,205.0,45.0,0.4196591095404874,0.08323424573653898,20920.21,169881.92999999993
157,55.0,195.0,25.0,70.0,205.0,50.0,0.48813788634675964,0.1021108198485752,21034.859999999997,286899.18999999994
158,55.0,195.0,30.0,70.0,205.0,55.0,0.5249135751110723,0.11488580050517376,21105.61,351231.83999999997
159,55.0,195.0,35.0,70.0,205.0,60.0,0.5186298365249707,0.11705591998564273,21118.21,343086.6
160,55.0,195.0,40.0,70.0,205.0,65.0,0.4465574036819491,0.1063785315431077,21051.35,224514.61999999997
161,60.0,85.0,5.0,75.0,95.0,30.0,0.327477101388521,0.05921701255966644,20610.42,16588.02999999997
162,60.0,90.0,0.0,75.0,100.0,25.0,0.9727326416274451,0.19150148961634433,21072.54,1159171.17
163,60.0,90.0,5.0,75.0,100.0,30.0,1.1983581208476126,0.22546554325078896,21225.739999999998,1555591.19
164,60.0,90.0,10.0,75.0,100.0,35.0,1.2905203826392648,0.2345459961465658,21300.479999999996,1718820.9100000001
165,60.0,90.0,15.0,75.0,100.0,40.0,1.2507446326064022,0.21902061426903116,21278.949999999997,1635941.4
166,60.0,90.0,20.0,75.0,100.0,45.0,1.0612492069207138,0.17870976822923199,21135.97,1291088.9100000001
167,60.0,90.0,25.0,75.0,100.0,50.0,0.824048248427832,0.1350934054253982,20980.579999999998,866890.53
168,60.0,90.0,30.0,75.0,100.0,55.0,0.5228744633454548,0.0855879916318193,20797.829999999998,346286.92999999993
169,60.0,95.0,0.0,75.0,105.0,25.0,1.43706099637655,0.28982952582821225,21451.93,2006485.48
170,60.0,95.0,5.0,75.0,105.0,30.0,1.8651030938719304,0.3637976268074364,21785.0,2806100.2800000003
171,60.0,95.0,10.0,75.0,105.0,35.0,2.165128199198483,0.4128021945134443,22053.18,3391028.8099999996
172,60.0,95.0,15.0,75.0,105.0,40.0,2.2958329912598923,0.42874484355265535,22193.09,3647090.9799999995
173,60.0,95.0,20.0,75.0,105.0,45.0,2.222382325480698,0.40872890139777823,22170.899999999998,3509345.6899999995
174,60.0,95.0,25.0,75.0,105.0,50.0,1.967942335632906,0.36102156762799675,22031.629999999997,3013207.01
175,60.0,95.0,30.0,75.0,105.0,55.0,1.5415567967756072,0.28562831017770307,21749.21,2198650.29
176,60.0,95.0,35.0,75.0,105.0,60.0,1.0844122381973558,0.20429307503120445,21399.229999999996,1359905.58
177,60.0,95.0,40.0,75.0,105.0,65.0,0.6882502420457136,0.1334951495937429,21070.399999999998,649380.2899999999
178,60.0,95.0,45.0,75.0,105.0,70.0,0.42174641285242753,0.08625768360021174,18171.82,162582.99
179,60.0,100.0,0.0,75.0,110.0,25.0,1.4142561867161756,0.29388627458655814,21458.879999999997,1986708.07
180,60.0,100.0,5.0,75.0,110.0,30.0,1.9743296404009993,0.39918803845759054,21920.25,3052085.6799999997
181,60.0,100.0,10.0,75.0,110.0,35.0,2.449486231130097,0.48831420748304943,22384.19,4004768.5799999996
182,60.0,100.0,15.0,75.0,110.0,40.0,2.7530503780420643,0.545323486819995,22732.92,4639287.58
183,60.0,100.0,20.0,75.0,110.0,45.0,2.866132101465199,0.5688406898391806,22937.519999999997,4904176.47
184,60.0,100.0,25.0,75.0,110.0,50.0,2.7631838099866814,0.5553520740066162,22982.809999999998,4712201.42
185,60.0,100.0,30.0,75.0,110.0,55.0,2.4479469402264367,0.5023150140045721,22842.54,4074128.69
186,60.0,100.0,35.0,75.0,110.0,60.0,1.9639592954889409,0.41518644799386123,22518.879999999997,3104911.0
187,60.0,100.0,40.0,75.0,110.0,65.0,1.4458902754206435,0.3175465555747604,22043.01,2082242.1400000001
188,60.0,100.0,45.0,75.0,110.0,70.0,1.1011407112144533,0.25297191048262296,18966.149999999998,1247817.3800000001
189,60.0,105.0,0.0,75.0,115.0,25.0,0.9377481692384705,0.1991214144281484,21115.53,1108364.9
190,60.0,105.0,5.0,75.0,115.0,30.0,1.447831938900366,0.30615331774240084,21559.54,2054542.3800000001
191,60.0,105.0,10.0,75.0,115.0,35.0,1.9834558072530903,0.419976630098188,22088.239999999998,3102500.81
192,60.0,105.0,15.0,75.0,115.0,40.0,2.4479835251187105,0.5221238516977671,22613.82,4067990.22
193,60.0,105.0,20.0,75.0,115.0,45.0,2.7814567563563526,0.6010934650449343,23084.78,4815175.39
194,60.0,105.0,25.0,75.0,115.0,50.0,2.876654378061546,0.6350638949003429,23376.67,5069167.59
195,60.0,105.0,30.0,75.0,115.0,55.0,2.7680759116189213,0.6265810972869232,23473.35,4875551.98
196,60.0,105.0,35.0,75.0,115.0,60.0,2.4833996378645042,0.5799046068545669,23377.99,4297514.72
197,60.0,105.0,40.0,75.0,115.0,65.0,2.0846259564467626,0.5055746522982171,22952.14,3444787.1
198,60.0,105.0,45.0,75.0,115.0,70.0,1.781651556530903,0.44821186623058945,19794.66,2461991.6399999997
199,60.0,110.0,0.0,75.0,120.0,25.0,0.5483908092372778,0.11459170532511054,20810.46,416013.8
200,60.0,110.0,5.0,75.0,120.0,30.0,0.944488069428667,0.20028180587871722,21162.439999999995,1123001.9
201,60.0,110.0,10.0,75.0,120.0,35.0,1.3913619777640818,0.3012470502334827,21611.879999999997,1959545.7900000003
202,60.0,110.0,15.0,75.0,120.0,40.0,1.8262194771188625,0.4058762577955057,22112.1,2821615.84
203,60.0,110.0,20.0,75.0,120.0,45.0,2.1863969326640063,0.501644038850682,22613.760000000002,3587749.2700000005
204,60.0,110.0,25.0,75.0,120.0,50.0,2.4040093096042288,0.5706660802235137,23042.870000000003,4095750.61
205,60.0,110.0,30.0,75.0,120.0,55.0,2.470170389273956,0.6087840767839688,23346.54,4297532.99
206,60.0,110.0,35.0,75.0,120.0,60.0,2.388740899137391,0.6140944862147933,23532.11,4181710.7399999998
207,60.0,110.0,40.0,75.0,120.0,65.0,2.190788933831481,0.588234372440268,23256.83,3747203.17
208,60.0,110.0,45.0,75.0,120.0,70.0,2.0210512739696296,0.5591355372457835,20178.659999999996,2959936.36
209,60.0,115.0,0.0,75.0,125.0,25.0,0.31418190607246427,0.06254984502668622,20645.489999999998,8857.389999999956
210,60.0,115.0,5.0,75.0,125.0,30.0,0.601792947494336,0.12301029317444065,20908.03,506321.81999999995
211,60.0,115.0,10.0,75.0,125.0,35.0,0.9533154637603554,0.2010942756823548,21252.14,1139525.96
212,60.0,115.0,15.0,75.0,125.0,40.0,1.3361555321157457,0.2921065085479653,21663.05,1859422.79
213,60.0,115.0,20.0,75.0,125.0,45.0,1.6794899635152027,0.3848301430992722,22113.32,2548024.25
214,60.0,115.0,25.0,75.0,125.0,50.0,1.913717129651609,0.46043165438897654,22538.17,3062065.2199999997
